국가(대륙)별,상품군별,판매유형별,2014.1/4,2014.2/4,2014.3/4,2014.4/4,2015.1/4,2015.2/4,2015.3/4,2015.4/4,2016.1/4,2016.2/4,2016.3/4,2016.4/4,2017.1/4,2017.2/4,2017.3/4,2017.4/4,2018.1/4,2018.2/4,2018.3/4,2018.4/4,2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4 p)
유럽연합+영국,음·식료품,계,,,,,,,,,,,,,25,29,27,42,31,25,22,27,26,23,18,19,382,20,10,16,14,16,10,7,3,6,2,4,42,219
유럽연합+영국,음·식료품,면세점,,,,,,,,,,,,,5,10,12,6,4,7,8,6,8,11,10,5,4,1,0,0,0,1,0,1,0,1,1,4,4,2
유럽연합+영국,음·식료품,면세점 이외,,,,,,,,,,,,,20,19,15,36,27,18,14,21,18,12,8,14,378,19,10,16,14,15,10,6,3,5,1,0,38,217
유럽연합+영국,농축수산물,계,,,,,,,,,,,,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽연합+영국,농축수산물,면세점,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽연합+영국,농축수산물,면세점 이외,,,,,,,,,,,,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽연합+영국,생활·자동차용품,계,,,,,,,,,,,,,733,698,546,654,739,639,610,637,665,622,383,845,694,632,637,597,661,586,464,198,11,8,23,11,27,26
유럽연합+영국,생활·자동차용품,면세점,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽연합+영국,생활·자동차용품,면세점 이외,,,,,,,,,,,,,733,698,546,654,739,639,610,637,665,622,383,845,694,632,637,597,661,586,464,198,11,8,23,11,27,26
유럽연합+영국,기 타,계,,,,,,,,,,,,,739,767,721,863,1121,811,760,1057,922,926,536,914,978,905,984,1040,1473,1072,979,361,50,75,254,162,85,256
유럽연합+영국,기 타,면세점,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽연합+영국,기 타,면세점 이외,,,,,,,,,,,,,739,767,721,863,1121,811,760,1057,922,926,536,914,978,905,984,1040,1473,1072,979,361,50,75,254,162,85,256
기타 유럽,합계,계,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,544,658
기타 유럽,합계,면세점,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62,202
기타 유럽,합계,면세점 이외,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,482,456
기타 유럽,컴퓨터 및 주변기기,계,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,53
